k,m,logm_k
297,51983390,3.12035
298,51983390,3.11851
299,51983390,3.11668
300,51983390,3.11485
301,51983390,3.11304
302,51983390,3.11123
303,51983390,3.10943
304,51983390,3.10763
305,51983390,3.10585
306,51983390,3.10407
307,51983390,3.10231
308,51983390,3.10055
309,51983390,3.09879
310,51983390,3.09705
311,51983390,3.09531
312,51983390,3.09358
313,51983390,3.09186
314,51983390,3.09014
315,51983390,3.08843
316,51983390,3.08673
317,62310437,3.1165
